Survived,Pclass,Age,Embarked,Fare_cat,IsFemale,Family_Member,IsAlone
1,1,36.248,0,2,0,0,1
1,1,11,0,3,0,3,0
1,1,36.248,2,2,0,0,1
1,1,51,0,2,0,0,1
1,1,26,2,2,0,0,1
0,2,35,0,2,0,0,1
0,2,66,0,1,0,0,1
0,2,32,0,1,0,0,1
0,2,21,0,3,0,0,1
0,2,34,0,2,0,1,0
0,2,29,0,2,0,1,0
0,2,21,0,3,0,2,0
0,2,32.5,2,2,0,1,0
0,2,25,0,1,0,0,1
0,2,23,2,2,0,0,1
0,2,18,0,1,0,0,1
0,2,19,0,3,0,2,0
0,2,36.5,0,2,0,2,0
0,2,42,0,1,0,0,1
0,2,51,0,1,0,0,1
0,2,30,0,1,0,0,1
0,2,33.36904762,2,2,0,0,1
0,2,19,0,1,0,0,1
0,2,30,0,1,0,0,1
0,2,42,0,2,0,1,0
0,2,30,0,1,0,0,1
0,2,27,0,1,0,0,1
0,2,18,0,1,0,0,1
0,2,59,0,1,0,0,1
0,2,24,0,1,0,0,1
0,2,44,0,2,0,1,0
0,2,19,0,1,0,0,1
0,2,33,0,1,0,0,1
0,2,29,0,1,0,0,1
0,2,54,0,2,0,1,0
0,2,36,0,1,0,0,1
0,2,33.36904762,0,0,0,0,1
0,2,36,2,1,0,0,1
0,2,30,2,2,0,1,0
0,2,43,0,2,0,2,0
0,2,54,0,1,0,0,1
0,2,28,0,1,0,0,1
0,2,25,0,1,0,0,1
0,2,36,0,1,0,0,1
0,2,29,2,2,0,1,0
0,2,18,0,3,0,0,1
0,2,46,0,2,0,0,1
0,2,23,0,1,0,0,1
0,2,34,0,2,0,1,0
0,2,33.36904762,0,0,0,0,1
0,2,30,0,1,0,0,1
0,2,31,0,1,0,0,1
0,2,36,0,2,0,3,0
0,2,48,0,1,0,0,1
0,2,33.36904762,0,0,0,0,1
0,2,34,0,2,0,1,0
0,2,33.36904762,0,0,0,0,1
0,2,23,0,1,0,3,0
0,2,27,0,2,0,0,1
0,2,28,0,1,0,0,1
0,2,54,0,2,0,0,1
0,2,47,0,2,0,0,1
0,2,37,0,2,0,1,0
0,2,26,0,1,0,0,1
0,2,57,1,1,0,0,1
0,2,31,0,2,0,2,0
0,2,24,0,3,0,2,0
0,2,23,0,1,0,0,1
0,2,32,0,3,0,2,0
0,2,25,0,1,0,0,1
0,2,70,0,1,0,0,1
0,2,33.36904762,0,0,0,0,1
0,2,60,0,3,0,2,0
0,2,25,2,3,0,3,0
0,2,52,0,1,0,0,1
0,2,39,0,2,0,0,1
0,2,52,0,1,0,0,1
0,2,34,0,1,0,0,1
0,2,50,0,1,0,0,1
0,2,25,0,2,0,1,0
0,2,33.36904762,0,0,0,0,1
0,2,23,0,1,0,0,1
0,2,23,0,1,0,0,1
0,2,18,0,1,0,0,1
0,2,16,0,2,0,0,1
0,2,39,0,1,0,0,1
0,2,34,0,1,0,0,1
0,2,39,0,1,0,0,1
0,2,35,0,1,0,0,1
0,2,31,2,3,0,2,0
0,2,16,0,1,0,0,1
0,2,28,0,3,0,1,0
0,2,21,0,1,0,1,0
0,2,24,0,1,0,0,1
0,2,28,0,1,0,0,1
0,2,27,0,1,0,0,1
1,2,16.022,0,1,0,0,1
1,2,34,0,1,0,0,1
1,2,0.83,0,2,0,2,0
1,2,1,0,3,0,3,0
1,2,3,0,2,0,2,0
1,2,19,0,1,0,0,1
1,2,42,0,1,0,0,1
1,2,2,0,2,0,2,0
1,2,3,0,2,0,2,0
1,2,32,0,2,0,1,0
1,2,16.022,2,1,0,0,1
1,2,8,0,3,0,2,0
1,2,62,0,1,0,0,1
1,2,31,0,1,0,0,1
1,2,0.67,0,2,0,2,0
1,2,1,2,3,0,2,0
1,2,0.83,0,2,0,2,0
0,3,22,0,0,0,1,0
0,3,35,0,1,0,0,1
0,3,27.25581395,1,1,0,0,1
0,3,2,0,2,0,4,0
0,3,20,0,1,0,0,1
0,3,39,0,3,0,6,0
0,3,2,1,2,0,5,0
0,3,27.25581395,2,0,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,21,0,1,0,0,1
0,3,27.25581395,2,0,0,0,1
0,3,27.25581395,0,1,0,0,1
0,3,27.25581395,1,2,0,1,0
0,3,27.25581395,2,2,0,2,0
0,3,7,0,3,0,5,0
0,3,21,0,0,0,0,1
0,3,28.5,2,0,0,0,1
0,3,11,0,3,0,7,0
0,3,22,2,0,0,0,1
0,3,4,0,2,0,5,0
0,3,19,0,1,0,0,1
0,3,26,0,1,0,2,0
0,3,26,2,2,0,1,0
0,3,25,0,0,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,27.25581395,0,1,0,0,1
0,3,22,0,1,0,0,1
0,3,16,0,3,0,4,0
0,3,27.25581395,0,1,0,0,1
0,3,24,0,1,0,0,1
0,3,29,0,1,0,0,1
0,3,20,0,0,0,0,1
0,3,26,0,2,0,3,0
0,3,59,0,0,0,0,1
0,3,27.25581395,0,1,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,33,0,1,0,0,1
0,3,37,0,1,0,2,0
0,3,28,0,0,0,0,1
0,3,38,0,0,0,0,1
0,3,22,0,1,0,0,1
0,3,21,0,1,0,0,1
0,3,70.5,1,0,0,0,1
0,3,27.25581395,0,1,0,0,1
0,3,27.25581395,1,0,0,0,1
0,3,45,0,0,0,0,1
0,3,33,2,0,0,0,1
0,3,20,0,0,0,0,1
0,3,16,0,1,0,0,1
0,3,19,1,0,0,0,1
0,3,55.5,0,1,0,0,1
0,3,40.5,0,2,0,2,0
0,3,27.25581395,0,0,0,0,1
0,3,30,0,1,0,0,1
0,3,27.25581395,0,1,0,0,1
0,3,27.25581395,0,3,0,10,0
0,3,44,0,2,0,1,0
0,3,26,0,0,0,0,1
0,3,17,0,1,0,0,1
0,3,1,0,3,0,5,0
0,3,28,0,3,0,0,1
0,3,4,1,2,0,5,0
0,3,21,0,1,0,0,1
0,3,18,0,0,0,2,0
0,3,27.25581395,0,2,0,4,0
0,3,36,0,0,0,0,1
0,3,9,0,3,0,6,0
0,3,40,1,2,0,2,0
0,3,36,0,0,0,0,1
0,3,27.25581395,1,0,0,0,1
0,3,42,0,1,0,1,0
0,3,28,0,1,0,0,1
0,3,27.25581395,0,3,0,10,0
0,3,34,0,0,0,0,1
0,3,45.5,2,0,0,0,1
0,3,32,0,2,0,1,0
0,3,24,0,0,0,0,1
0,3,22,0,0,0,0,1
0,3,27.25581395,1,0,0,1,0
0,3,51,0,1,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,22,0,1,0,0,1
0,3,20.5,0,0,0,0,1
0,3,29,0,0,0,0,1
0,3,22,0,0,0,0,1
0,3,30,2,0,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,30,0,2,0,1,0
0,3,27.25581395,1,0,0,0,1
0,3,16,0,3,0,5,0
0,3,7,1,2,0,5,0
0,3,65,1,0,0,0,1
0,3,28,0,0,0,0,1
0,3,16,0,1,0,0,1
0,3,33,2,1,0,0,1
0,3,22,0,0,0,0,1
0,3,24,0,0,0,0,1
0,3,23.5,2,0,0,0,1
0,3,19,0,0,0,0,1
0,3,27.25581395,0,1,0,0,1
0,3,28,0,0,0,0,1
0,3,22,0,0,0,0,1
0,3,27,0,0,0,0,1
0,3,27.25581395,0,3,0,10,0
0,3,61,0,0,0,0,1
0,3,16,0,2,0,2,0
0,3,27.25581395,0,0,0,0,1
0,3,42,0,1,0,0,1
0,3,23,0,1,0,0,1
0,3,15,2,0,0,2,0
0,3,25,0,2,0,1,0
0,3,27.25581395,2,0,0,0,1
0,3,28,0,1,0,0,1
0,3,40,0,2,0,5,0
0,3,35,0,0,0,0,1
0,3,27.25581395,1,2,0,1,0
0,3,30,0,0,0,0,1
0,3,18,0,0,0,1,0
0,3,19,0,1,0,0,1
0,3,20,2,0,0,0,1
0,3,19,0,0,0,0,1
0,3,32,0,1,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,1,0,3,0,7,0
0,3,27.25581395,1,0,0,0,1
0,3,28,0,1,0,2,0
0,3,22,0,0,0,0,1
0,3,26,0,1,0,0,1
0,3,28,0,2,0,1,0
0,3,51,0,0,0,0,1
0,3,21,0,0,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,27.25581395,1,0,0,0,1
0,3,27.25581395,2,0,0,0,1
0,3,21,1,0,0,0,1
0,3,29,0,0,0,0,1
0,3,18,0,2,0,2,0
0,3,27.25581395,0,0,0,0,1
0,3,27.25581395,1,0,0,0,1
0,3,17,0,0,0,0,1
0,3,20,0,1,0,0,1
0,3,25,0,0,0,1,0
0,3,27.25581395,0,2,0,1,0
0,3,27.25581395,0,1,0,0,1
0,3,27.25581395,1,0,0,0,1
0,3,34,0,1,0,0,1
0,3,27.25581395,0,1,0,0,1
0,3,38,0,0,0,0,1
0,3,27.25581395,1,0,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,38,0,1,0,0,1
0,3,29,0,0,0,1,0
0,3,22,0,0,0,0,1
0,3,9,0,3,0,7,0
0,3,50,0,1,0,0,1
0,3,30,0,1,0,0,1
0,3,27.25581395,0,2,0,1,0
0,3,21,0,0,0,0,1
0,3,21,0,1,0,0,1
0,3,27.25581395,2,2,0,0,1
0,3,27.25581395,0,2,0,0,1
0,3,24,0,0,0,0,1
0,3,17,0,1,0,0,1
0,3,28,0,2,0,0,1
0,3,27.25581395,0,1,0,0,1
0,3,24,0,0,0,0,1
0,3,27.25581395,1,2,0,0,1
0,3,32,0,0,0,0,1
0,3,22,0,0,0,0,1
0,3,27.25581395,2,0,0,0,1
0,3,27.25581395,2,0,0,0,1
0,3,40.5,1,0,0,0,1
0,3,39,0,1,0,0,1
0,3,27.25581395,2,0,0,0,1
0,3,17,2,0,0,2,0
0,3,27.25581395,0,2,0,0,1
0,3,33,0,2,0,2,0
0,3,27.25581395,1,0,0,0,1
0,3,27.25581395,1,0,0,0,1
0,3,40,0,0,0,0,1
0,3,27.25581395,0,1,0,0,1
0,3,24,0,2,0,2,0
0,3,19,0,0,0,0,1
0,3,27.25581395,2,0,0,0,1
0,3,16,0,1,0,0,1
0,3,19,0,2,0,0,1
0,3,27.25581395,2,1,0,0,1
0,3,22,0,1,0,0,1
0,3,27.25581395,0,1,0,0,1
0,3,35,0,0,0,0,1
0,3,47,0,0,0,0,1
0,3,36,0,2,0,2,0
0,3,49,0,0,0,0,1
0,3,27.25581395,2,0,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,44,0,1,0,0,1
0,3,36,0,2,0,1,0
0,3,30,0,0,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,27.25581395,1,0,0,0,1
0,3,35,0,1,0,0,1
0,3,34,0,1,0,2,0
0,3,27,2,2,0,1,0
0,3,21,0,0,0,0,1
0,3,21,0,2,0,0,1
0,3,26,0,0,0,0,1
0,3,27.25581395,1,0,0,0,1
0,3,51,0,0,0,0,1
0,3,32,0,1,0,0,1
0,3,27.25581395,0,2,0,1,0
0,3,20,0,0,0,0,1
0,3,19,0,0,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,21,0,1,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,40,2,0,0,0,1
0,3,36,0,0,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,43,0,1,0,0,1
0,3,18,0,0,0,0,1
0,3,24.5,0,1,0,0,1
0,3,20,0,1,0,0,1
0,3,14,0,3,0,7,0
0,3,14,0,3,0,5,0
0,3,19,0,1,0,0,1
0,3,18,0,0,0,0,1
0,3,25,2,0,0,0,1
0,3,44,0,1,0,0,1
0,3,42,0,0,0,0,1
0,3,25,1,0,0,0,1
0,3,26,0,0,0,1,0
0,3,29,0,1,0,0,1
0,3,19,0,0,0,0,1
0,3,27.25581395,1,2,0,0,1
0,3,33,0,0,0,0,1
0,3,17,0,0,0,1,0
0,3,20,0,1,0,0,1
0,3,11,2,2,0,0,1
0,3,28.5,0,2,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,24,0,2,0,1,0
0,3,16,0,2,0,2,0
0,3,31,1,0,0,0,1
0,3,33,0,1,0,0,1
0,3,23,0,0,0,0,1
0,3,28,0,0,0,0,1
0,3,34,0,1,0,0,1
0,3,27.25581395,0,2,0,0,1
0,3,41,0,0,0,0,1
0,3,16,0,0,0,0,1
0,3,27.25581395,1,2,0,1,0
0,3,32,0,1,0,0,1
0,3,24,0,1,0,0,1
0,3,48,0,0,0,0,1
0,3,27.25581395,2,0,0,0,1
0,3,18,0,0,0,0,1
0,3,27.25581395,1,0,0,0,1
0,3,27.25581395,1,0,0,0,1
0,3,27.25581395,0,2,0,3,0
0,3,25,0,0,0,0,1
0,3,25,0,0,0,0,1
0,3,8,1,2,0,5,0
0,3,27.25581395,1,0,0,0,1
0,3,25,0,0,0,0,1
0,3,30,2,0,0,0,1
0,3,31,0,0,0,0,1
0,3,26,0,0,0,0,1
0,3,39,0,2,0,0,1
0,3,30.5,0,1,0,0,1
0,3,43,0,0,0,0,1
0,3,10,0,2,0,5,0
0,3,2,0,3,0,5,0
0,3,27.25581395,1,0,0,0,1
0,3,27.25581395,0,3,0,0,1
0,3,27.25581395,2,0,0,0,1
0,3,23,0,0,0,0,1
0,3,18,0,1,0,0,1
0,3,21,0,1,0,0,1
0,3,27.25581395,0,1,0,0,1
0,3,20,0,1,0,0,1
0,3,34.5,2,0,0,0,1
0,3,17,0,1,0,0,1
0,3,42,0,0,0,0,1
0,3,27.25581395,0,3,0,10,0
0,3,35,2,0,0,0,1
0,3,4,0,3,0,6,0
0,3,74,0,0,0,0,1
0,3,27.25581395,2,0,0,0,1
0,3,41,0,1,0,2,0
0,3,27.25581395,0,1,0,0,1
0,3,26,0,0,0,0,1
0,3,47,0,1,0,0,1
0,3,20,0,1,0,0,1
0,3,19,0,0,0,0,1
0,3,27.25581395,0,0,0,0,1
0,3,33,0,0,0,0,1
0,3,25,0,0,0,0,1
0,3,32,1,0,0,0,1
1,3,22.27421053,2,0,0,0,1
1,3,22.27421053,2,2,0,2,0
1,3,32,0,3,0,0,1
1,3,29,0,1,0,0,1
1,3,22.27421053,0,0,0,0,1
1,3,12,2,1,0,1,0
1,3,24,0,0,0,0,1
1,3,27,0,0,0,0,1
1,3,9,0,2,0,2,0
1,3,18,0,1,0,0,1
1,3,26,2,2,0,0,1
1,3,16,0,1,0,0,1
1,3,3,0,3,0,6,0
1,3,25,0,0,0,1,0
1,3,25,0,0,0,0,1
1,3,19,0,1,0,0,1
1,3,30,0,1,0,0,1
1,3,22.27421053,1,2,0,2,0
1,3,45,0,1,0,0,1
1,3,3,0,2,0,2,0
1,3,21,0,0,0,0,1
1,3,39,0,1,0,0,1
1,3,44,0,1,0,0,1
1,3,32,0,1,0,0,1
1,3,22.27421053,0,1,0,0,1
1,3,29,2,0,0,0,1
1,3,9,0,2,0,2,0
1,3,26,0,3,0,0,1
1,3,29,1,0,0,0,1
1,3,22,2,0,0,0,1
1,3,32,0,0,0,0,1
1,3,32,0,1,0,0,1
1,3,20,2,2,0,2,0
1,3,22.27421053,0,3,0,0,1
1,3,20,0,1,0,1,0
1,3,22.27421053,0,3,0,0,1
1,3,22.27421053,2,2,0,2,0
1,3,31,0,1,0,0,1
1,3,6,0,1,0,1,0
1,3,20,2,0,0,0,1
1,3,1,0,2,0,3,0
1,3,0.42,2,1,0,1,0
1,3,27,0,0,0,0,1
1,3,27,0,1,0,0,1
1,3,22.27421053,1,0,0,0,1
1,3,32,0,3,0,0,1
1,3,4,0,1,0,2,0
0,1,50,2,2,1,0,1
0,1,2,0,3,1,3,0
0,1,25,0,3,1,3,0
1,1,38,2,3,1,1,0
1,1,35,0,3,1,1,0
1,1,58,0,2,1,0,1
1,1,34.93902439,2,3,1,1,0
1,1,49,2,3,1,1,0
1,1,38,0,3,1,0,1
1,1,23,0,3,1,5,0
1,1,19,0,2,1,2,0
1,1,22,0,3,1,1,0
1,1,34.93902439,0,3,1,1,0
1,1,44,2,2,1,0,1
1,1,58,2,3,1,0,1
1,1,31,2,3,1,1,0
1,1,32,2,3,1,0,1
1,1,35,0,3,1,1,0
1,1,34.93902439,2,3,1,0,1
1,1,30,0,3,1,0,1
1,1,35,2,3,1,0,1
1,1,58,0,3,1,1,0
1,1,35,0,3,1,0,1
1,1,63,0,3,1,1,0
1,1,26,0,3,1,0,1
1,1,19,2,3,1,1,0
1,1,50,2,3,1,1,0
1,1,34.93902439,2,3,1,0,1
1,1,17,2,3,1,1,0
1,1,30,2,3,1,0,1
1,1,24,2,3,1,0,1
1,1,18,2,3,1,4,0
1,1,31,0,3,1,2,0
1,1,40,2,3,1,2,0
1,1,36,2,3,1,0,1
1,1,16,2,3,1,1,0
1,1,34.93902439,0,3,1,1,0
1,1,41,2,3,1,0,1
1,1,24,0,3,1,5,0
1,1,22,0,3,1,1,0
1,1,60,2,3,1,1,0
1,1,24,2,3,1,0,1
1,1,34.93902439,2,3,1,1,0
1,1,42,2,3,1,0,1
1,1,35,0,3,1,1,0
1,1,23,2,3,1,1,0
1,1,33,1,3,1,1,0
1,1,14,0,3,1,3,0
1,1,34.93902439,0,3,1,1,0
1,1,35,0,3,1,1,0
1,1,54,2,3,1,1,0
1,1,16,0,3,1,0,1
1,1,54,2,3,1,1,0
1,1,30,0,3,1,0,1
1,1,44,2,3,1,1,0
1,1,30,2,3,1,0,1
1,1,22,2,3,1,2,0
1,1,36,0,3,1,2,0
1,1,48,2,3,1,1,0
1,1,39,0,3,1,2,0
1,1,53,0,3,1,2,0
1,1,39,0,3,1,1,0
1,1,39,2,3,1,2,0
1,1,18,0,3,1,2,0
1,1,52,2,3,1,1,0
1,1,40,0,3,1,0,1
1,1,21,0,3,1,0,1
1,1,24,2,3,1,0,1
1,1,34.93902439,0,3,1,1,0
1,1,15,0,3,1,1,0
1,1,18,2,3,1,1,0
1,1,22,0,3,1,0,1
1,1,24,2,3,1,0,1
1,1,38,2,3,1,0,1
1,1,29,0,3,1,0,1
1,1,21,2,3,1,4,0
1,1,33,0,3,1,0,1
1,1,36,0,3,1,3,0
1,1,51,0,3,1,1,0
1,1,43,0,3,1,1,0
1,1,17,0,3,1,1,0
1,1,49,0,2,1,0,1
1,1,33,0,3,1,1,0
1,1,52,0,3,1,2,0
1,1,62,0,3,1,0,1
1,1,39,2,3,1,2,0
1,1,30,2,2,1,0,1
1,1,34.93902439,2,3,1,1,0
1,1,16,0,3,1,1,0
1,1,45,0,3,1,2,0
1,1,48,0,2,1,0,1
1,1,47,0,3,1,2,0
1,1,56,2,3,1,1,0
1,1,19,0,2,1,0,1
0,2,27,0,2,1,1,0
0,2,24,0,1,1,0,1
0,2,26,0,2,1,2,0
0,2,38,0,1,1,0,1
0,2,57,0,1,1,0,1
0,2,44,0,2,1,1,0
1,2,14,2,2,1,1,0
1,2,55,0,2,1,0,1
1,2,3,2,3,1,3,0
1,2,29,0,2,1,1,0
1,2,21,0,1,1,0,1
1,2,5,0,2,1,3,0
1,2,29,0,1,1,0,1
1,2,17,0,1,1,0,1
1,2,34,0,2,1,1,0
1,2,32.5,0,1,1,0,1
1,2,29,0,2,1,1,0
1,2,40,0,2,1,0,1
1,2,32,0,1,1,0,1
1,2,35,0,2,1,0,1
1,2,8,0,2,1,2,0
1,2,24,0,2,1,2,0
1,2,50,0,2,1,1,0
1,2,41,0,2,1,1,0
1,2,28.08088235,1,1,1,0,1
1,2,24,0,2,1,1,0
1,2,30,1,1,1,0,1
1,2,22,0,2,1,2,0
1,2,36,0,1,1,0,1
1,2,24,0,1,1,0,1
1,2,40,0,1,1,0,1
1,2,36,0,1,1,0,1
1,2,17,2,1,1,0,1
1,2,28,0,1,1,0,1
1,2,34,0,3,1,2,0
1,2,18,0,1,1,2,0
1,2,28,0,2,1,1,0
1,2,19,0,2,1,0,1
1,2,42,0,2,1,1,0
1,2,24,0,2,1,5,0
1,2,45,0,2,1,2,0
1,2,28,0,1,1,0,1
1,2,13,0,2,1,1,0
1,2,50,0,1,1,0,1
1,2,33,0,2,1,3,0
1,2,23,2,1,1,0,1
1,2,33,0,2,1,2,0
1,2,34,0,1,1,0,1
1,2,36,0,2,1,1,0
1,2,50,0,1,1,0,1
1,2,2,0,2,1,2,0
1,2,7,0,2,1,2,0
1,2,19,0,2,1,1,0
1,2,34,0,1,1,0,1
1,2,25,0,2,1,2,0
1,2,28.08088235,0,3,1,0,1
1,2,24,0,2,1,3,0
1,2,22,2,3,1,3,0
1,2,24,0,3,1,3,0
1,2,4,0,3,1,3,0
1,2,28,0,1,1,0,1
1,2,18,0,2,1,1,0
1,2,40,0,3,1,2,0
1,2,45,0,1,1,0,1
1,2,27,0,1,1,0,1
1,2,6,0,3,1,1,0
1,2,30,0,2,1,3,0
1,2,30,0,1,1,0,1
1,2,4,0,2,1,2,0
1,2,48,0,3,1,3,0
1,2,54,0,2,1,4,0
1,2,31,0,2,1,2,0
1,2,42,0,1,1,0,1
1,2,27,2,1,1,1,0
1,2,28,2,2,1,1,0
1,2,25,0,2,1,1,0
0,3,14,0,0,1,0,1
0,3,31,0,2,1,1,0
0,3,8,0,2,1,4,0
0,3,18,0,2,1,2,0
0,3,40,0,1,1,1,0
0,3,18,0,2,1,1,0
0,3,16,0,3,1,7,0
0,3,28,0,0,1,0,1
0,3,14.5,2,2,1,1,0
0,3,20,0,1,1,1,0
0,3,17,2,2,1,0,1
0,3,2,0,3,1,6,0
0,3,47,0,2,1,1,0
0,3,23.81818182,2,2,1,2,0
0,3,9,0,3,1,4,0
0,3,45,0,2,1,5,0
0,3,23.81818182,0,3,1,10,0
0,3,2,0,1,1,1,0
0,3,23.81818182,0,2,1,4,0
0,3,23.81818182,0,0,1,0,1
0,3,23.81818182,2,2,1,1,0
0,3,25,0,0,1,0,1
0,3,29,0,1,1,2,0
0,3,41,0,2,1,2,0
0,3,23.81818182,1,0,1,0,1
0,3,45,0,0,1,0,1
0,3,24,0,1,1,0,1
0,3,45,2,2,1,1,0
0,3,3,0,2,1,4,0
0,3,31,0,0,1,0,1
0,3,21,0,1,1,1,0
0,3,20,0,1,1,0,1
0,3,23.81818182,0,2,1,4,0
0,3,23.81818182,0,1,1,0,1
0,3,10,0,2,1,2,0
0,3,28,0,1,1,2,0
0,3,21,0,3,1,4,0
0,3,22,0,1,1,0,1
0,3,23.81818182,0,2,1,4,0
0,3,21,1,0,1,0,1
0,3,23.81818182,1,0,1,0,1
0,3,37,0,1,1,0,1
0,3,30,0,1,1,0,1
0,3,9,0,3,1,6,0
0,3,11,0,3,1,6,0
0,3,23.81818182,0,1,1,0,1
0,3,29,0,2,1,4,0
0,3,23.81818182,2,2,1,1,0
0,3,23.81818182,1,0,1,2,0
0,3,39,0,3,1,6,0
0,3,26,0,2,1,1,0
0,3,9,0,2,1,5,0
0,3,41,0,3,1,5,0
0,3,2,0,2,1,5,0
0,3,18,1,0,1,0,1
0,3,32,1,2,1,2,0
0,3,43,0,3,1,7,0
0,3,23.81818182,1,1,1,0,1
0,3,18,2,2,1,1,0
0,3,25,0,1,1,1,0
0,3,48,0,3,1,4,0
0,3,30.5,1,0,1,0,1
0,3,23.81818182,0,3,1,10,0
0,3,30,0,2,1,2,0
0,3,18,0,0,1,0,1
0,3,6,0,3,1,6,0
0,3,23,0,1,1,0,1
0,3,9,2,2,1,2,0
0,3,23.81818182,0,3,1,10,0
0,3,22,0,1,1,0,1
0,3,39,1,2,1,5,0
0,3,23.81818182,0,2,1,3,0
1,3,26,0,1,1,0,1
1,3,27,0,1,1,2,0
1,3,4,0,2,1,2,0
1,3,19.32978723,2,0,1,0,1
1,3,15,1,1,1,0,1
1,3,38,0,3,1,6,0
1,3,19.32978723,1,0,1,0,1
1,3,19.32978723,1,0,1,0,1
1,3,14,2,1,1,1,0
1,3,19,1,0,1,0,1
